a cappella,singing in harmony
a la mode,fashionable
a priori,before
A-bomb,H-bomb
ab ovo,ab initio
Abaddon,Aeshma
abandon,leave
abandoned,left
abase,abash
abasement,lowering
abash,abase
abashed,embarrassed
abate,ablate
abatement,abridgment
abatis,advanced work
abbe,DD
abbess,canoness
abbot,abbacomes
abbreviate,abridge
abbreviated,shortened
abbreviation,abbreviature
abdicate,abandon
abdication,abjuration
abdomen,belly
abdominal,intestinal
abduction,kidnapping
abecedarian,aboriginal
abecedary,abecedarium
aberrant,perverse
aberration,aberrance
abet,advance
abettor,advancer
abeyance,abandonment
abhor,abominate
abhorrent,abominable
abide by,accede
abide,stand
abiding,age-long
ability,skill
abject,abominable
abjection,abandon
abjuration,abandonment
abjure,abandon
ablate,abate
ablation,abrasion
ablaze,afire
able,adapted
ablution,cleaning
ably,adeptly
abnegation,abstinence
abnormal,aberrant
abnormality,aberrance
aboard,afloat
abode,abiding
abolish,abate
abolition,abolishment
abominable,aberrant
abomination,abberation
aboriginal,native
aborigine,native
abort,abandon
abortive,abandoned
abound,abound with
about face,about-turn
about ship,back and fill
about,on
above all,a fortiori
above water,stay afloat
above,higher than
above-board,honest
aboveboard,honest
abrade,abate
abrasion,wound
abrasive,wounding
abreast,alongside
abridge,abbreviate
abridged,shortened
abridgment,shortening
abroad,abashed
abrogate,abate
abrogation,abjuration
abrupt,suddent
abruptly,suddenly
abscess,puss
abscond,run away
absconded,absent
absence,non presence
absent,absconded
absent-minded,thoughtless
absentmindedness,thoughtlessness
absolute zero,freezing
absolute,definite
absolutely,definitely
absolution,acquittal
absolutism,certainty
absolve,acquit
absorb,ablate
absorbed,took in
absorbent,absorbency
absorbing,interesting
absorption,soaking up
absquatulate,abscond
abstain,abnegate
abstainer,ascetic
abstemious,Apostolic
abstention,asceticism
abstinence,going without
abstract,abate
abstracted,abbreviated
abstraction,Walter Mitty
abstruse,Herculean
absurd,Pickwickian
absurdity,absurdness
abulia,abstraction
abundance,accumulation
abundant,abounding
abuse,abuse of office
abusive,Rabelaisian
abut,abut on
abysmal,Atlantean
abyss,Bassalia
AC,DC
academia,university
academic,abstract
academician,bookman
academy,Gymnasium
accede,OK
accelerate,activate
acceleration,accelerando
accelerator,PCV valve
accent,emphasise
accentuate,accent
accept,OK
acceptable,OK
acceptance,CD
acceptation,acceptance
accepted,agreed
accepting,Spartan
access,entry
accessible,adaptable
accession,accedence
accessory,a party to
accident prone,breakneck
accident,accessary
accidental,accessory
acclaim,abide by
acclaimed,accepted
acclamation,acclaim
acclimate,acclimatize
accolade,adulation
accommodate,acclimate
accommodating,accessible
accommodation,lodgings
accommodations,accommodation
accompaniment,accession
accompany,agree
accompanying,accessory
accomplice,a party to
accomplish,achieve
accomplished fact,accomplished
accomplishment,ability
accord,OK
accordance,acclamation
according to Hoyle,according to regulations
according to,accommodated to
accordingly,according to circumstances
accost,address
account for,accredit with
account,a reckoning of
accountable,Englishable
accountant,CA
accounting,bookeeping
accouterment,add on
accredit,validate
accroach,adopt
accrue,gather
acculturation,Americanization
accumulate,accouple
accumulation,abundance
accuracy,absoluteness
accurate,OK
accurately,bang
accuse,blame
accused,blambed
accustomed,accepted
ace in the hole,advantage
ace,A per se
acedia,accidia
aceldama,Belsen
acerbic,acerb
acerbity,acescency
ache,ache for
achieve,accomplish
achievement,accomplished fact
aching,painful
achromasia,achroma
achromic,achromatic
acid rock,avant-garde jazz
acid test,assay
acid,DET
acidhead,LSD user
acidify,acetify
acidity,acerbity
acidulous,acerb
acknowledge,accept
acknowledged,accepted
acknowledgment,abject apology
acme,Olympian heights
acne,acne vulgaris
acolyte,Bible clerk
acoustic,audible
acoustical,acoustic
acoustics,sound
acquaint,accustom
acquaintance,account
acquiesce,abide by
acquiescence,OK
acquiescent,abject
acquire,accept
acquisition,acceptance
acquisitive,a hog for
acquit,absolve
acquittal,accordance
acquitted,absolved
acreage,area
acres,abundance
acrid,acerb
acridity,acerbity
acrimonious,acerb
acrimony,acerbity
acrobat,aerialist
acrobatics,Rugby
acropolis,bastion
across the board,across-the-board
across,across the grain
acrostic,abuse of terms
acrylic,Bakelite
act as,act
act for,advance
act like,affect
act of God,certainty
act on,act upon
act out,act
act,accomplish
acta,accomplished fact
acting,act
action,accomplished fact
actionable,against the law
activate,accelerate
active,acting
activism,act
activist,ball of fire
activity,act
actor,thespian
actress,Roscius
actual,absolute
actuality,accomplished fact
actually,absolutely
actuary,CA
actuate,animate
actuation,activity
acuity,acridity
acumen,acuity
acute,sharp
acutely,abundantly
ad infinitum,again and again
ad lib,on spec
adage,ana
adagio,a poco
adamant,adamantine
adapt,acclimate
adaptable,able to adapt
adaptation,version
adapted,a propos
add to,aggrandize
add up,add up to
add,adjoin
addendum,PS
addict,junkie
addiction,a habit
adding machine,calculator
addition,summing
additional,accessory
additive,accession
addle,addle the wits
addled,addlebrained
addlepate,addlebrain
addlepated,addlebrained
address book,Domesday Book
address,Parthian shot
addressee,accepter
adduction,affinity
adept,expert
adequate,OK
adhere to,abide by
adhere,agglomerate
adherence,OK
adherent,Averroist
adhesive tape,Ace bandage
adhesive,adherent
adieu,Godspeed
adipose,beefy
adit,access
adjacent,abutting
adjective,adjectival
adjoin,abut
adjoining,abutting
adjourn,break up
adjudicate,account
adjunct,accession
adjure,administer an oath
adjust,abate
adjustable,able to adapt
adjusted,able
adjustment,abatement of differences
adjutant,acolyte
adjuvant,accession
administer to,attend
administer,abide by
administration,academic dean
administrator,academic dean
admirable,adorable
admiration,Amor
admire,OK
admired,accepted
admirer,Maecenas
admissibility,acceptability
admissible,OK
admission,Americanization
admissive,admissible
admit,Americanize
admitted,accepted
admixture,accretion
admonish,advise
admonition,admonishment
ado,agitation
adobe,ashlar
adolescent,at half cock
adopt,Americanize
adopted,Americanized
adoption,Americanization
adorable,E
adoration,Amor
adore,accord respect to
adored,admired
adoring,Christian
adorn,array
adorned,beaded
adornment,adjunct
adrift,abashed
adroit,Daedalian
adsorb,absorb
adsorbent,absorbency
adsorption,absorbency
adulation,acclaim
adult,aged
adulterate,alloy
adulterated,airy
adultery,act of love
adulthood,adultness
adumbrate,allude to
advance guard,airhead
advance,Brownian movement
advanced,a bit previous
advancement,Great Leap Forward
advantage,accommodation
advantageous,acceptable
advantageously,advisably
advent,access
Advent,Allhallowmas
adventitious,accessory
adventure,exciting story
adventurer,adventuress
adventuresome,adventurous
adventuress,adventurer
adventurous,adventuresome
adverb,adjectival
adversary,adversative
adverse,adversary
advertent,agog
advertise,acquaint
advertisement,ad
advice,admonition
advisable,advantageous
advise,acquaint
advised,aforethought
adviser,councellor
advisory,admonition
advocacy,abetment
advocate,representative
aegis,sign
aeon,long time
aerate,aerify
aerial,sky
aerialist,acrobat
aerobatics,acrobatics
aerodynamic,aerial
aerodynamics,aerial photography
aerography,aerial photography
aerology,aerial photography
aeromechanics,aerial photography
aeromedicine,aerial photography
aeronaut,aeroplaner
aeronautics,air service
aeroplane,adjustable propeller
aerosol,aspergil
aerospace,CAT
aerosphere,CAT
aerostatics,aerial photography
aery,aerial
aesthetic,artistic
aesthetics,artistic taste
aestival,arctic
affable,friendly
affair,activities
affairs,accord
affect,act
